Wed Nov 19 13:23:00 2003
FISH v1.0
FISH is copyright (c)2003, University of North Carolina at Chapel Hill
Authors: Sugata Chakravarty and Todd J. Vision

-parameters
	MIN_SCORE = 200
	MAX_DIST = 10

-contigs

    contig   markers  features
      3573         1          -1 At1g51880
      3573         1          -1 At1g51890
      3573         1          -1 At1g51910
      3574         1          -1 At1g51900
      3575         1           1 At1g51920
      3576         1          -1 At1g51930
      3577         1          -1 At1g51940
      3578         1           1 At1g51950
      3579         1           1 At1g51960
      3580         1          -1 At1g51970
      3581         1          -1 At1g51980
      3582         1           1 At1g51990
      3583         1          -1 At1g52000
      3583         1          -1 At1g52030
      3583         1          -1 At1g52040
      3583         1          -1 At1g52050
      3583         1          -1 At1g52060
      3583         1          -1 At1g52070
      3583         1          -1 At1g52100
      3583         1          -1 At1g52130
      3584         1           1 At1g52010
      3585         1          -1 At1g52020
      3586         1           1 At1g52080
      3587         1          -1 At1g52090
      3588         1          -1 At1g52110
      3589         1          -1 At1g52120
      3590         1          -1 At1g52140
      3591         1          -1 At1g52150
      3592         1          -1 At1g52160
      3593         1          -1 At1g52180
      3594         1           1 At1g52190
      3595         1          -1 At1g52200
      3596         1          -1 At1g52220
      3597         1           1 At1g52230
      3598         1          -1 At1g52240
      3599         1          -1 At1g52250
      3600         1           1 At1g52260
      3601         1          -1 At1g52270
      3602         1          -1 At1g52280
      3603         1          -1 At1g52290
      3604         1          -1 At1g52300
      3605         1           1 At1g52310
      3606         1           1 At1g52320
      3607         1           1 At1g52330
      3608         1          -1 At1g52340
      3609         1           1 At1g52360
      3610         1           1 At1g52370
      3611         1           1 At1g52380
      3612         1          -1 At1g52390
      3613         1           1 At1g52400
      3614         1           1 At1g52410
      3615         1           1 At1g52420
      3616         1          -1 At1g52430
      3616         1          -1 At1g52450
      3617         1           1 At1g52440
      3618         1           1 At1g52460
      3619         1           1 At1g52470
      3620         1          -1 At1g52480
      3621         1          -1 At1g52490
      3622         1           1 At1g52500
      3623         1          -1 At1g52510
      3624         1           1 At1g52520
      3625         1           1 At1g52530
      3626         1          -1 At1g52540
      3627         1          -1 At1g52550
      3628         1          -1 At1g52560
      3629         1          -1 At1g52570
      3630         1           1 At1g52580
      3631         1          -1 At1g52590
      3632         1           1 At1g52600
      3633         1          -1 At1g52610
      3634         1           1 At1g52620
      3635         1          -1 At1g52630
      3636         1          -1 At1g52640
      3637         1           1 At1g52650
      3638         1           1 At1g52660
      3639         1          -1 At1g52670
      3640         1          -1 At1g52680
      3641         1           1 At1g52690
      3642         1          -1 At1g52700
      3643         1          -1 At1g52710
      3644         1           1 At1g52720
      3645         1           1 At1g52730
      3646         1           1 At1g52740
      3647         1          -1 At1g52750
      3648         1           1 At1g52760
      3649         1           1 At1g52770
      3650         1           1 At1g52780
      3651         1          -1 At1g52790
      3651         1          -1 At1g52800
      3651         1          -1 At1g52810
      3651         1          -1 At1g52820
      3652         1          -1 At1g52830
      3653         1           1 At1g52840
      3654         1           1 At1g52850
      3655         1           1 At1g52870
      3656         1          -1 At1g52880
      3657         1          -1 At1g52890
      3658         1          -1 At1g52900
      3659         1           1 At1g52910
      3660         1          -1 At1g52920
      3661         1           1 At1g52930
      3662         1           1 At1g52940
      3663         1           1 At1g52950
      3664         1           1 At1g52960
      3665         1          -1 At1g52970
      3666         1           1 At1g52980
      3667         1          -1 At1g52990
      3668         1          -1 At1g53000
      3669         1           1 At1g53010
      3670         1          -1 At1g53020
      3671         1          -1 At1g53030
      3672         1          -1 At1g53040
      3673         1           1 At1g53050
      3674         1           1 At1g53060
      3675         1           1 At1g53070
      3676         1           1 At1g53080
      3677         1           1 At1g53090
      3678         1          -1 At1g53100
      3679         1           1 At1g53110
      3680         1           1 At1g53120
      3681         1          -1 At1g53130
      3682         1           1 At1g53140
      3683         1           1 At1g53150
      3684         1           1 At1g53160
      3685         1          -1 At1g53170
      3686         1           1 At1g53180
      3687         1           1 At1g53190
      3688         1          -1 At1g53200
      3689         1           1 At1g53210
      3690         1          -1 At1g53230
      3691         1          -1 At1g53240
      3692         1           1 At1g53250
      3693         1          -1 At1g53260
      3694         1           1 At1g53270
      3695         1          -1 At1g53280
      3696         1           1 At1g53290
      3697         1           1 At1g53300
      3698         1          -1 At1g53310
      3699         1          -1 At1g53320
      3700         1           1 At1g53330
      3701         1          -1 At1g53340
      3702         1           1 At1g53350
      3703         1           1 At1g53360
      3704         1           1 At1g53370
      3705         1          -1 At1g53380
      3706         1           1 At1g53390
      3707         1           1 At1g53400
      3708         1          -1 At1g53420
      3708         1          -1 At1g53430
      3708         1          -1 At1g53440
      3709         1          -1 At1g53450
      3710         1          -1 At1g53460
      3711         1           1 At1g53470
      3712         1          -1 At1g53480
      3713         1           1 At1g53490
      3714         1          -1 At1g53500
      3715         1          -1 At1g53510
      3716         1          -1 At1g53520
      3717         1           1 At1g53530
      3718         1           1 At1g53540
      3719         1           1 At1g53550
      3720         1          -1 At1g53560
      3721         1           1 At1g53570
      3722         1          -1 At1g53580
      3723         1           1 At1g53590
      3724         1           1 At1g53600
      3725         1          -1 At1g53610
      3726         1          -1 At1g53620
      3727         1          -1 At1g53640
      3728         1          -1 At1g53650
      3729         1           1 At1g53660
      3730         1           1 At1g53670
      3731         1           1 At1g53680
      3732         1          -1 At1g53690
      3733         1           1 At1g53700
      3734         1          -1 At1g53710
      3735         1           1 At1g53720
      3736         1           1 At1g53730
      3736         1           1 At1g53740
      3737         1          -1 At1g53750
      3737         1          -1 At1g53780
      3738         1          -1 At1g53760
      3739         1          -1 At1g53770
      3740         1          -1 At1g53790
      3741         1           1 At1g53800
      3742         1           1 At1g53810
      3743         1           1 At1g53820
      3744         1           1 At1g53830
      3744         1           1 At1g53840
      3745         1          -1 At1g53850
      3746         1          -1 At1g53860
      3747         1           1 At1g53870
      3747         1           1 At1g53880
      3747         1           1 At1g53890
      3747         1           1 At1g53900
      3748         1           1 At1g53910
      3749         1           1 At1g53920
      3750         1          -1 At1g53930
      3751         1           1 At1g53940
      3751         1           1 At1g53990
      3752         1          -1 At1g53950
      3753         1          -1 At1g53960
      3754         1           1 At1g53970
      3755         1          -1 At1g53980
      3756         1          -1 At1g54000
      3756         1          -1 At1g54010
      3756         1          -1 At1g54020
      3757         1           1 At1g54030
      3758         1          -1 At1g54040
      3759         1          -1 At1g54050
      3760         1           1 At1g54060
      3761         1           1 At1g54070
      3762         1          -1 At1g54080
      3763         1           1 At1g54090
      3764         1          -1 At1g54100
      3765         1           1 At1g54110
      3766         1           1 At1g54120
      3767         1           1 At1g54130
      3768         1          -1 At1g54140
      3769         1           1 At1g54150
      3770         1          -1 At1g54160
      3771         1          -1 At1g54170
      3772         1           1 At1g54180
      3773         1           1 At1g54190
      3774         1           1 At1g54200
      3775         1           1 At1g54210
      3776         1          -1 At1g54220
      3777         1           1 At1g54230
      3778         1           1 At1g54240
      3779         1           1 At1g54250
      3780         1           1 At1g54260
      3781         1           1 At1g54270
      3782         1          -1 At1g54280
      3783         1          -1 At1g54290
      3784         1           1 At1g54300
      3785         1           1 At1g54310
      3786         1          -1 At1g54320
      3787         1          -1 At1g54330
      3788         1           1 At1g54340
      3789         1           1 At1g54350
      3790         1           1 At1g54360
      3791         1          -1 At1g54370
      3792         1          -1 At1g54380
      3793         1          -1 At1g54390
      3794         1           1 At1g54400
      3795         1          -1 At1g54410
      3796         1           1 At1g54420
      3797         1          -1 At1g54430
      3798         1           1 At1g54440
      3799         1          -1 At1g54450
      3800         1          -1 At1g54460
      3801         1           1 At1g54470
      3802         1           1 At1g54480
      3803         1           1 At1g54490
      3804         1          -1 At1g54500
      3805         1          -1 At1g54510
      3806         1           1 At1g54520
      3807         1           1 At1g54530
      3808         1          -1 At1g54540
      3809         1           1 At1g54550
      3810         1          -1 At1g54560
      3811         1          -1 At1g54570
      3812         1           1 At1g54580
      3812         1           1 At1g54630
      3813         1          -1 At1g54590
      3814         1          -1 At1g54610
      3815         1          -1 At1g54620
      3816         1          -1 At1g54640
      3817         1          -1 At1g54650
      3818         1           1 At1g54680
      3819         1          -1 At1g54690
      3820         1           1 At1g54700
      3821         1          -1 At1g54710
      3822         1           1 At1g54720
      3823         1           1 At1g54730
      3824         1           1 At1g54740
      3825         1           1 At1g54760
      3826         1           1 At1g54770
      3827         1           1 At1g54780
      3828         1          -1 At1g54790
      3829         1          -1 At1g54800
      3830         1           1 At1g54820
      3831         1           1 At1g54830
      3832         1          -1 At1g54840
      3833         1           1 At1g54850
      3834         1          -1 At1g54860
      3835         1           1 At1g54870
      3836         1          -1 At1g54880
      3837         1           1 At1g54890
      3838         1           1 At1g54900
      3839         1           1 At1g54910
      3840         1           1 At1g54920
      3841         1          -1 At1g54930
      3842         1           1 At1g54940
      3843         1          -1 At1g54950
      3844         1           1 At1g54960
      3845         1           1 At1g54970
      3846         1          -1 At1g54980
      3847         1           1 At1g54990
      3848         1           1 At1g55000
      3849         1           1 At1g55010
      3850         1           1 At1g55020
      3851         1          -1 At1g55030
      3852         1           1 At1g55040
      3853         1           1 At1g55050
      3854         1           1 At1g55070
      3855         1          -1 At1g55080
      3856         1           1 At1g55090
      3857         1          -1 At1g55110
      3858         1           1 At1g55120
      3859         1           1 At1g55130
      3860         1          -1 At1g55140
      3861         1           1 At1g55150
      3862         1           1 At1g55160
      3863         1           1 At1g55170
      3864         1          -1 At1g55180
      3865         1           1 At1g55190
      3866         1          -1 At1g55200
      3867         1          -1 At1g55210
      3868         1          -1 At1g55220
      3869         1           1 At1g55230
      3869         1           1 At1g55240
      3870         1           1 At1g55250
      3871         1           1 At1g55260
      3872         1          -1 At1g55270
      3873         1          -1 At1g55280
      3874         1          -1 At1g55290
      3875         1          -1 At1g55300
      3876         1           1 At1g55310
      3877         1           1 At1g55320
      3878         1          -1 At1g55330
      3879         1           1 At1g55340
      3880         1          -1 At1g55350
      3881         1          -1 At1g55360
      3882         1           1 At1g55370
      3883         1          -1 At1g55380
      3883         1          -1 At1g55390
      3883         1          -1 At1g55410
      3883         1          -1 At1g55420
      3883         1          -1 At1g55430
      3883         1          -1 At1g55440
      3884         1          -1 At1g55400
      3885         1          -1 At1g55450
      3886         1           1 At1g55460
      3887         1           1 At1g55480
      3888         1          -1 At1g55490
      3889         1           1 At1g55500
      3890         1           1 At1g55510
      3891         1          -1 At1g55520
      3892         1          -1 At1g55530
      3893         1          -1 At1g55540
      3894         1           1 At1g55550
      3895         1          -1 At1g55560
      3895         1          -1 At1g55570
      3896         1           1 At1g55580
      3897         1          -1 At1g55590
      3898         1          -1 At1g55600
      3899         1          -1 At1g55610
      3900         1          -1 At1g55620
      3901         1          -1 At1g55630
      3902         1           1 At1g55640
      3903         1           1 At1g55650
      3904         1           1 At1g55660
      3905         1          -1 At1g55670
      3906         1          -1 At1g55680
      3907         1          -1 At1g55690
      3908         1           1 At1g55700
      3909         1          -1 At1g55710
      3910         1          -1 At1g55720
      3910         1          -1 At1g55730
      3911         1          -1 At1g55740
      3912         1          -1 At1g55750
      3913         1          -1 At1g55760
      3914         1          -1 At1g55770
      3915         1          -1 At1g55780
      3916         1          -1 At1g55790
      3917         1          -1 At1g55800
      3918         1           1 At1g55810
      3919         1           1 At1g55820
      3920         1          -1 At1g55830
      3921         1           1 At1g55840
      3922         1           1 At1g55850
      3923         1          -1 At1g55860
      3924         1           1 At1g55870
      3925         1          -1 At1g55880
      3926         1           1 At1g55890
      3927         1           1 At1g55900
      3928         1           1 At1g55910
      3929         1           1 At1g55920
      3930         1           1 At1g55930
      3931         1          -1 At1g55940
      3932         1          -1 At1g55950
      3933         1          -1 At1g55960
      3934         1          -1 At1g55970
      3935         1          -1 At1g55980
      3935         1          -1 At1g56000
      3936         1          -1 At1g55990
      3937         1          -1 At1g56010
      3938         1           1 At1g56020
      3939         1          -1 At1g56030
      3940         1          -1 At1g56040
      3941         1           1 At1g56050
      3942         1          -1 At1g56060
      3943         1          -1 At1g56070
      3944         1          -1 At1g56080
      3945         1          -1 At1g56090
      3946         1          -1 At1g56100
      3947         1          -1 At1g56110
      3948         1          -1 At1g56120
      3948         1          -1 At1g56130
      3948         1          -1 At1g56140
      3949         1           1 At1g56150
      3950         1           1 At1g56160
      3951         1           1 At1g56170
      3952         1          -1 At1g56180
      3953         1           1 At1g56190
      3954         1           1 At1g56200
      3955         1           1 At1g56210
      3956         1           1 At1g56220
      3957         1          -1 At1g56230
      3958         1          -1 At1g56240
      3958         1          -1 At1g56250
      3959         1          -1 At1g56260
      3960         1          -1 At1g56270
      3961         1          -1 At1g56280
      3962         1           1 At1g56290
      3963         1          -1 At1g56300
      3964         1           1 At1g56310
      3965         1          -1 At1g56320
      3966         1          -1 At1g56330
      3967         1          -1 At1g56340
      3968         1           1 At1g56350
      3969         1          -1 At1g56360
      3970         1           1 At1g56380
      3971         1           1 At1g56390
      3972         1          -1 At1g56400
      3973         1           1 At1g56410
      3974         1          -1 At1g56420
      3975         1           1 At1g56430
      3976         1          -1 At1g56440
      3977         1           1 At1g56450
      3978         1           1 At1g56460
      3979         1           1 At1g56500
      3980         1           1 At1g56510
      3980         1           1 At1g56520
      3980         1           1 At1g56540
      3981         1           1 At1g56530
      3982         1          -1 At1g56550
      3983         1           1 At1g56560
      3984         1           1 At1g56570
      3985         1          -1 At1g56580
      3986         1          -1 At1g56590
      3987         1           1 At1g56600
      3988         1           1 At1g56610
      3989         1           1 At1g56620
      3990         1          -1 At1g56630
      3991         1          -1 At1g56650
      3992         1           1 At1g56660
      3993         1           1 At1g56670
      3994         1          -1 At1g56680
      3995         1           1 At1g56690
      3996         1           1 At1g56700
      3997         1          -1 At1g56710
      3998         1          -1 At1g56720
      3999         1          -1 At1g57540
      4000         1          -1 At1g57550
      4001         1           1 At1g57560
      4001         1           1 At1g57580
      4002         1           1 At1g57570
      4003         1          -1 At1g57590
      4004         1          -1 At1g57600
      4005         1          -1 At1g57610
      4006         1           1 At1g57620
      4007         1           1 At1g57630
      4008         1          -1 At1g57640
      4009         1           1 At1g57650
      4010         1           1 At1g57660
      4011         1          -1 At1g57670
      4012         1          -1 At1g57680
      4013         1          -1 At1g57690
      4014         1           1 At1g57700
      4015         1           1 At1g57720
      4016         1          -1 At1g57730
      4017         1          -1 At1g57750
      4018         1           1 At1g57760
      4019         1           1 At1g57770
      4020         1           1 At1g57780
      4021         1          -1 At1g57790
      4022         1          -1 At1g57800
      4022         1          -1 At1g57820
      4023         1           1 At1g57830
      4023         1           1 At1g57850
      4024         1          -1 At1g57860
      4025         1          -1 At1g57870
      4026         1          -1 At1g57980
      4026         1          -1 At1g57990
      4027         1          -1 At1g58000
      4028         1          -1 At1g58050
      4028         1          -1 At1g58060
      4029         1           1 At1g58070
      4030         1          -1 At1g58080
      4031         1           1 At1g58090
      4032         1          -1 At1g58100
      4033         1          -1 At1g58110
      4034         1           1 At1g58120
      4035         1          -1 At1g58140
      4036         1           1 At1g58150
      4037         1           1 At1g58160
      4038         1           1 At1g58170
      4039         1          -1 At1g58180
      4040         1           1 At1g58190
      4041         1          -1 At1g58200
      4042         1           1 At1g58210
      4043         1          -1 At1g58220
      4044         1           1 At1g58230
      4045         1           1 At1g58240
      4046         1          -1 At1g58250
      4047         1           1 At1g58260
      4048         1          -1 At1g58270
      4049         1          -1 At1g58280
      4050         1          -1 At1g58290
      4051         1          -1 At1g58300
      4052         1           1 At1g58310
      4053         1          -1 At1g58320
      4054         1           1 At1g58330
      4055         1           1 At1g58340
      4056         1          -1 At1g58350
      4057         1           1 At1g58360
      4058         1           1 At1g58370
      4059         1           1 At1g58380
      4060         1          -1 At1g58390
      4060         1          -1 At1g58400
      4060         1          -1 At1g58410
      4061         1           1 At1g58420
      4062         1          -1 At1g58430
      4063         1          -1 At1g58440
      4064         1           1 At1g58450
      4065         1           1 At1g58460
      4066         1           1 At1g58470
      4067         1           1 At1g58480
      4068         1          -1 At1g59490
      4069         1          -1 At1g59500
      4070         1           1 At1g59510
      4071         1           1 At1g59520
      4072         1           1 At1g59530
      4073         1           1 At1g59540
      4074         1          -1 At1g59550
      4075         1           1 At1g59560
      4076         1           1 At1g59580
      4077         1           1 At1g59590
      4078         1          -1 At1g59600
      4079         1           1 At1g59610
      4080         1           1 At1g59620
      4081         1          -1 At1g59630
      4082         1          -1 At1g59640
      4083         1           1 At1g59650
      4084         1           1 At1g59660
      4085         1           1 At1g59670
      4085         1           1 At1g59700
      4086         1           1 At1g59680
      4087         1          -1 At1g59690
      4088         1           1 At1g59710
      4089         1          -1 At1g59720
      4090         1          -1 At1g59730
      4091         1           1 At1g59740
      4092         1           1 At1g59750
      4093         1          -1 At1g59760
      4094         1          -1 At1g59770
      4095         1          -1 At1g59780
      4096         1           1 At1g59790
      4096         1           1 At1g59800
      4097         1           1 At1g59810
      4098         1           1 At1g59820
      4099         1          -1 At1g59830
      4100         1           1 At1g59840
      4101         1          -1 At1g59850
      4102         1           1 At1g59860
      4103         1           1 At1g59870
      4104         1           1 At1g59890
      4105         1           1 At1g59900
      4106         1          -1 At1g59910
      4107         1          -1 At1g59920
      4107         1          -1 At1g59930
      4108         1          -1 At1g59940
      4109         1          -1 At1g59950
      4109         1          -1 At1g59960
      4110         1           1 At1g59970
      4111         1           1 At1g59980
      4112         1          -1 At1g59990
      4113         1          -1 At1g60000
      4114         1          -1 At1g60010
      4115         1          -1 At1g60020
      4116         1          -1 At1g60030
      4117         1          -1 At1g60040
      4118         1          -1 At1g60050
      4119         1           1 At1g60060
      4120         1          -1 At1g60070
      4121         1          -1 At1g60080
      4122         1           1 At1g60090
      4123         1           1 At1g60100
      4124         1           1 At1g60110
      4124         1           1 At1g60130
      4125         1          -1 At1g60140
      4126         1          -1 At1g60160
      4127         1           1 At1g60170
      4128         1          -1 At1g60180
      4129         1           1 At1g60190
      4130         1          -1 At1g60200
      4131         1          -1 At1g60210
      4132         1           1 At1g60220
      4133         1          -1 At1g60230
      4134         1          -1 At1g60240
      4135         1          -1 At1g60250
      4136         1          -1 At1g60260
      4136         1          -1 At1g60270
      4137         1          -1 At1g60280
      4137         1          -1 At1g60300
      4137         1          -1 At1g60340
      4137         1          -1 At1g60350
      4137         1          -1 At1g60380
      4138         1           1 At1g60320
      4139         1          -1 At1g60360
      4140         1           1 At1g60370
      4141         1          -1 At1g60390
      4142         1           1 At1g60400
      4143         1           1 At1g60410
      4144         1           1 At1g60420
      4145         1          -1 At1g60430
      4146         1          -1 At1g60440
      4147         1          -1 At1g60450
      4147         1          -1 At1g60470
      4148         1           1 At1g60460
      4149         1          -1 At1g60490
      4150         1           1 At1g60500
      4150         1           1 At1g60530
      4150         1           1 At1g60540
      4151         1          -1 At1g60550
      4152         1          -1 At1g60560
      4153         1           1 At1g60570
      4154         1          -1 At1g60590
      4155         1          -1 At1g60600
      4156         1          -1 At1g60610
      4157         1           1 At1g60620
      4158         1          -1 At1g60630
      4159         1          -1 At1g60640
      4160         1           1 At1g60650
      4161         1          -1 At1g60660
      4162         1           1 At1g60670
      4163         1          -1 At1g60680
      4163         1          -1 At1g60690
      4163         1          -1 At1g60710
      4163         1          -1 At1g60730
      4163         1          -1 At1g60750
      4164         1          -1 At1g60700
      4165         1           1 At1g60720
      4166         1           1 At1g60740
      4167         1           1 At1g60760
      4168         1          -1 At1g60770
      4169         1          -1 At1g60780
      4170         1          -1 At1g60790
      4171         1          -1 At1g60800
      4172         1          -1 At1g60810
      4173         1          -1 At1g60830
      4173         1          -1 At1g60900
      4174         1          -1 At1g60850
      4175         1          -1 At1g60860
      4176         1           1 At1g60870
      4177         1           1 At1g60880
      4178         1          -1 At1g60890
      4179         1          -1 At1g60920
      4180         1          -1 At1g60930
      4181         1          -1 At1g60940
      4182         1           1 At1g60950
      4183         1          -1 At1g60960
      4184         1          -1 At1g60970
      4185         1           1 At1g60980
      4186         1          -1 At1g60990
      4187         1          -1 At1g61000
      4188         1          -1 At1g61010
      4189         1           1 At1g61030
      4190         1           1 At1g61040
      4191         1           1 At1g61050
      4192         1          -1 At1g61060
      4193         1          -1 At1g61070
      4194         1          -1 At1g61080
      4195         1          -1 At1g61090
      4196         1          -1 At1g61100
      4197         1           1 At1g61110
      4198         1           1 At1g61120
      4199         1          -1 At1g61130
      4200         1          -1 At1g61140
      4201         1           1 At1g61150
      4202         1          -1 At1g61160
      4203         1           1 At1g61170
      4204         1           1 At1g61180
      4204         1           1 At1g61190
      4205         1          -1 At1g61200
      4206         1           1 At1g61210
      4207         1           1 At1g61220
      4208         1           1 At1g61230
      4209         1           1 At1g61240
      4210         1           1 At1g61250
      4211         1          -1 At1g61260
      4212         1          -1 At1g61270
      4213         1           1 At1g61280
      4214         1           1 At1g61290
      4215         1          -1 At1g61300
      4215         1          -1 At1g61310
      4216         1           1 At1g61320
      4216         1           1 At1g61330
      4217         1           1 At1g61340
      4218         1           1 At1g61350
      4219         1          -1 At1g61360
      4219         1          -1 At1g61370
      4219         1          -1 At1g61380
      4219         1          -1 At1g61390
      4219         1          -1 At1g61400
      4219         1          -1 At1g61420
      4219         1          -1 At1g61430
      4219         1          -1 At1g61440
      4219         1          -1 At1g61460
      4219         1          -1 At1g61480
      4219         1          -1 At1g61490
      4219         1          -1 At1g61500
      4219         1          -1 At1g61550
      4219         1          -1 At1g61610
      4220         1          -1 At1g61410
      4221         1           1 At1g61450
      4222         1           1 At1g61470
      4223         1          -1 At1g61510
      4224         1           1 At1g61520
      4225         1           1 At1g61540
      4226         1          -1 At1g61560
      4227         1          -1 At1g61570
      4228         1          -1 At1g61580
      4229         1          -1 At1g61590
      4230         1           1 At1g61600
      4231         1           1 At1g61620
      4232         1           1 At1g61630
      4233         1          -1 At1g61640
      4234         1          -1 At1g61660
      4235         1           1 At1g61670
      4236         1          -1 At1g61680
      4237         1          -1 At1g61690
      4238         1           1 At1g61700
      4239         1          -1 At1g61710
      4240         1          -1 At1g61720
      4241         1          -1 At1g61730
      4242         1          -1 At1g61740
      4243         1          -1 At1g61750
      4244         1          -1 At1g61760
      4245         1           1 At1g61770
      4246         1          -1 At1g61780
      4247         1           1 At1g61790
      4248         1           1 At1g61800
      4249         1           1 At1g61810
      4249         1           1 At1g61820
      4250         1           1 At1g61830
      4250         1           1 At1g61840
      4251         1           1 At1g61850
      4252         1          -1 At1g61860
      4253         1          -1 At1g61870
      4254         1          -1 At1g61890
      4255         1          -1 At1g61900
      4256         1           1 At1g61920
      4257         1           1 At1g61930
      4258         1          -1 At1g61940
      4259         1           1 At1g61950
      4260         1           1 At1g61960
      4260         1           1 At1g61970
      4260         1           1 At1g61980
      4260         1           1 At1g61990
      4260         1           1 At1g62010
      4260         1           1 At1g62090
      4260         1           1 At1g62110
      4260         1           1 At1g62120
      4260         1           1 At1g62150
      4261         1           1 At1g62000
      4261         1           1 At1g62060
      4261         1           1 At1g62080
      4262         1           1 At1g62020
      4263         1          -1 At1g62030
      4264         1           1 At1g62040
      4265         1          -1 At1g62050
      4266         1           1 At1g62070
      4267         1          -1 At1g62100
      4268         1          -1 At1g62130
      4269         1          -1 At1g62140
      4270         1           1 At1g62160
      4270         1           1 At1g62170
      4271         1          -1 At1g62180
      4272         1           1 At1g62190
      4273         1          -1 At1g62200
      4274         1           1 At1g62210
      4275         1           1 At1g62220
      4276         1           1 At1g62240
      4277         1          -1 At1g62250
      4278         1          -1 At1g62260
      4279         1           1 At1g62270
      4280         1          -1 At1g62280
      4281         1          -1 At1g62290
      4282         1          -1 At1g62300
      4283         1          -1 At1g62310
      4284         1          -1 At1g62320
      4285         1           1 At1g62330
      4286         1          -1 At1g62340
      4287         1           1 At1g62350
      4288         1          -1 At1g62360
      4289         1           1 At1g62370
      4290         1           1 At1g62380
      4291         1          -1 At1g62390
      4292         1           1 At1g62400
      4293         1           1 At1g62410
      4294         1          -1 At1g62420
      4295         1          -1 At1g62430
      4296         1           1 At1g62440
      4297         1          -1 At1g62450
      4298         1           1 At1g62480
      4299         1          -1 At1g62490
      4300         1           1 At1g62500
      4301         1          -1 At1g62510
      4302         1           1 At1g62520
      4303         1          -1 At1g62530
      4304         1           1 At1g62540
      4304         1           1 At1g62560
      4304         1           1 At1g62570
      4304         1           1 At1g62580
      4304         1           1 At1g62600
      4304         1           1 At1g62620
      4305         1          -1 At1g62590
      4305         1          -1 At1g62670
      4305         1          -1 At1g62680
      4305         1          -1 At1g62720
      4306         1          -1 At1g62610
      4307         1           1 At1g62630
      4308         1           1 At1g62640
      4309         1           1 At1g62660
      4310         1          -1 At1g62690
      4311         1          -1 At1g62700
      4312         1          -1 At1g62710
      4313         1          -1 At1g62730
      4314         1           1 At1g62740
      4315         1          -1 At1g62750
      4316         1          -1 At1g62760
      4317         1          -1 At1g62770
      4318         1          -1 At1g62780
      4319         1           1 At1g62790
      4320         1          -1 At1g62800
      4321         1          -1 At1g62810
      4322         1          -1 At1g62820
      4323         1          -1 At1g62830
      4324         1           1 At1g62840
      4325         1          -1 At1g62850
      4326         1          -1 At1g62860
      4326         1          -1 At1g62910
      4326         1          -1 At1g62930
      4327         1          -1 At1g62870
      4328         1           1 At1g62880
      4329         1           1 At1g62890
      4330         1           1 At1g62900
      4331         1           1 At1g62920
      4332         1           1 At1g62940
      4333         1           1 At1g62950
      4334         1          -1 At1g62960
      4335         1           1 At1g62970
      4336         1           1 At1g62980
      4337         1           1 At1g62990
      4338         1           1 At1g63000
      4339         1          -1 At1g63010
      4340         1          -1 At1g63020
      4341         1          -1 At1g63030
      4342         1           1 At1g63040
      4343         1          -1 At1g63050
      4344         1           1 At1g63060
      4345         1          -1 At1g63070
      4345         1          -1 At1g63080
      4345         1          -1 At1g63130
      4345         1          -1 At1g63150
      4345         1          -1 At1g63230
      4345         1          -1 At1g63320
      4345         1          -1 At1g63330
      4345         1          -1 At1g63400
      4346         1          -1 At1g63090
      4347         1          -1 At1g63100
      4348         1           1 At1g63110
      4349         1          -1 At1g63120
      4350         1           1 At1g63140
      4351         1          -1 At1g63160
      4352         1           1 At1g63170
      4353         1          -1 At1g63180
      4354         1           1 At1g63190
      4355         1          -1 At1g63200
      4356         1           1 At1g63210
      4357         1           1 At1g63220
      4358         1          -1 At1g63240
      4359         1          -1 At1g63250
      4360         1          -1 At1g63260
      4361         1          -1 At1g63270
      4362         1           1 At1g63280
      4363         1          -1 At1g63290
      4364         1           1 At1g63300
      4365         1          -1 At1g63310
      4366         1          -1 At1g63340
      4366         1          -1 At1g63370
      4366         1          -1 At1g63390
      4367         1          -1 At1g63350
      4367         1          -1 At1g63360
      4368         1           1 At1g63380
      4369         1          -1 At1g63410
      4370         1           1 At1g63420
      4371         1           1 At1g63430
      4372         1           1 At1g63440
      4373         1           1 At1g63450
      4374         1           1 At1g63460
      4375         1          -1 At1g63470
      4375         1          -1 At1g63480
      4376         1          -1 At1g63490
      4377         1           1 At1g63500
      4378         1           1 At1g63520
      4379         1           1 At1g63530
      4380         1           1 At1g63540
      4381         1           1 At1g63550
      4381         1           1 At1g63570
      4381         1           1 At1g63600
      4382         1           1 At1g63560
      4383         1           1 At1g63580
      4383         1           1 At1g63590
      4384         1          -1 At1g63610
      4385         1           1 At1g63630
      4386         1          -1 At1g63640
      4387         1           1 At1g63650
      4388         1          -1 At1g63660
      4389         1          -1 At1g63670
      4390         1           1 At1g63680
      4391         1           1 At1g63690
      4392         1          -1 At1g63700
      4393         1          -1 At1g63710
      4394         1          -1 At1g63720
      4395         1           1 At1g63730
      4395         1           1 At1g63740
      4395         1           1 At1g63750
      4395         1           1 At1g63870
      4395         1           1 At1g63880
      4396         1          -1 At1g63770
      4397         1          -1 At1g63780
      4398         1          -1 At1g63800
      4399         1          -1 At1g63810
      4400         1          -1 At1g63820
      4401         1           1 At1g63830
      4402         1          -1 At1g63840
      4403         1           1 At1g63850
      4404         1           1 At1g63890
      4405         1           1 At1g63900
      4406         1          -1 At1g63910
